Filename,Page No.,Yadi Bhag No.,Boundary Description (Marathi)
068-Mastan_Tack_Road.pdf,1,0068,".अ)बरकत अली विरानी मार्ग,15ते89(मनिवि30) खंड 4, 2.ब)मस्तान टॅंक मार्ग,म्युनिसिपल Fates म्यु.घ.नं.50च्या समोर(मनि्वि30) खंड 2"
069-Mastan_Tack_Road.pdf,1,0069,"1अ)मौलाना शौकतअली मार्ग,32 ते 40 (मनिवि-30), 2ब)सरजमेशदजी जीजीभाय मार्ग,434ते516(मनिवि-30)खंड-3, 3 क)बरकत अली विरानी मार्ग (क्रास लेन)(मनिवि30)खंड5, 4.5) टेमकर मार्ग, 17 ते 69 (मनि्वि30) खंड 5"
070-Sardar_Balwant_Singh_Dhodi_Marg.pdf,1,0070,"1अ)सरदार बलवंतसिंग धोदी ब मार्ग,21 ते 31(मनिवि 34)खंड 1,2 ब)शिवदास = ( चापसीमार्ग,51ते77बी(मनिवि32)खंड1, 3 क)शिवदास सजा चापसौमार्ग,36ते64(मनिबि34)खंड2"
071-Sardar_Balwant_Singh_Dhodi_Marg.pdf,1,0071,"1 अ)शिवदास चापसी . मार्ग,(माझगांब रोड)म्यु. ग घ.नं.79 ई किसान बिल्डींग ते 89डी राजे शिवाजी बिल्डींग (मनिबि32) खंड 3"
072-Barrister_Nath_Pai_Marg.pdf,1,0072,"1.अ)डॉकयार्ड रोड, 35 ते 39 (मनिवि32) खंड 1, 2ब)चर्चमार्ग,ग्यानी बि.ते रासबिया बिल्डींग (मनिवि-33)खंड-1"
073-Barrister_Nath_Pai_Marg.pdf,1,0073,"नाथ पै मार्ग,327ते393(मनिवि33) खंड, 2 ब)कारपेंटरमार्ग,पाठारे हा.ते जैन मं.(मनिवि33)खंड, 3 क)बॅरिस्टर नाथ पै मार्ग,293ते 315 सजा (मनिवि-33)खंड-3, 4.ड)बेकर लेन, (मनिवि 33) खंड 1"
074-Barrister_Nath_Pai_Marg.pdf,1,0074,"1.आ)बॅरिस्टरनाथ पै मार्ग,340ते रे चेंबर समोरील झोपडपट्ट्री (मनिबि)32)खंड, 2.ब)डिलीमा मार्ग,80 ते 140(मनिवि33)खंड 1, 3क) न्यु लँड मार्ग,(मनिवि33)खंड1, 4ड)"
075-Barrister_Nath_Pai_Marg.pdf,1,0075,"1अ) ढोलकर मार्ग,म.नि.बी.33,खंड-1, 2 ब)नवाब टँक मार्ग,23-61(मनिवि 33) खंड-1, 3.क) हॉस्पीटल मार्ग, (मनिवि 33) खंड 1, 4 ड) सजा चिमणाजी राणोजी मार्ग, (मनिबि 33) खंड 1 5 इ)डॉकयार्ड रोड म्यु-घ.नं.1 ते 33"
076-Nawab_Tack_Road.pdf,1,0076,"(1. अ)1ली कारपेंटर, कारपॅटर मळ गांब/शहर . मार्ग,13-47ते61(मनिवि33) खंड 1, 2ब) 2री कारपेंटर मार्ग (मनिवि-33) खंड-1"
077-Nawab_Tack_Road.pdf,1,0077,"1अ)मुझावर पाखाडी रोड,46-262,336,बीपीटी बंगला खंड-1, 2ब)नवाब टँक रोड,15-24बी (म.नि.वि.33) खंड 1, 3क)दूसरा माझगाव सजा कोळीबाडा,1-21(मनिवि-33) खंड-1,4 =) डिलीमा मार्ग,1ते 93 हस आणि पंचशिल बिल्डींग (मनिवि-33)खंड 2"
078-Jinabhai_Mulji_Rathod_Marg.pdf,1,0078,"_ 1अ)जे.एम. राठोड ते 3,(मनिवि32) खंड 1, 2ब)जेएम राठोड मार्ग,4 ते 7,10,(मनिवि32) खंड 2, 3.क)सेंट मेरी रोड,18ते28,(मनिवि34) खंड 1, सजा 4.ड)जे.एम.मार्ग(वाडीबंदर रोड),बि.पी.टी.कॉलनी 8व9(मनिवि32) खंड3, सजा 5.इ)जे.एम.मागं(वाडीबंदर रोड)4-44(मनिवि32)खंड"
079-Jinabhai_Mulji_Rathod_Marg.pdf,1,0079,"1अ)हुतात्मा भाऊसाहेब मार्ग,गांवदेबी मंदिर ते कुमार मेंशन(मनिवि32) खंड 1"
080-Jinabhai_Mulji_Rathod_Marg.pdf,1,0080,"1. अ)हुसेन पटेलमार्ग,21 ते 55(मनिवि32)खंड 1"
081-Jinabhai_Mulji_Rathod_Marg.pdf,1,0081,"1 अ)डॉकयार्ड रोड,41एते65ए (मनिवि32) खंड 3"
082-Jinabhai_Mulji_Rathod_Marg.pdf,1,0082,"1अ)डॉकयार्ड रोड 65बी ते 137 म्युनिसिपल क॑ पाउंड(मनिवि.32)खंड-4 सजा"""
083-Sardar_Balwant_Singh_Dhodi_Marg.pdf,1,0083,"1अ) सेंट मेरी आय टी चाळ न॑.1,(मनिवि-31)खंड-2, 2 ब) सेंट मेरी रोड,बी आय टी चाळ नं.4-7,(मनिवि-31)खंड-3, 3 क)एस.बी.धोदी मार्ग,33-सेंट मेरी सजा हायस्कूल (मनिवि-31)खंड-2"
084-Sardar_Balwant_Singh_Dhodi_Marg.pdf,1,0084,"1अ) सेंट मेरी आय टी चाळ 15-16 (मनिवि-31)खंड-4, 2 ब) सेंट मेरी रोड,बी आय टी चाळ नं. 5 (मनिवि-31)खंड-5"
085-Sardar_Balwant_Singh_Dhodi_Marg.pdf,1,0085,"1अ) सेंट मेरी आय टी चाळ 12-13 (मनिवि-31)खंड-6, 2ब) सेंट मेरी रोडपम्यु.ब्लॉक(कामगार सदन)16 ए ते 16 क (मनिवि-31)खंड-7"
086-Sardar_Balwant_Singh_Dhodi_Marg.pdf,1,0086,"1अ) सेंट मेरी आय टी चाळ नं.2(मनिवि-31)खंड-8, 2 ब) सेंट मेरी रोड,बी आय टी चाळ 11व14(मनिवि-31)खंड-9"
087-St._Mary_s_Road.pdf,1,0087,"1अ) सेंट मेरी आय टी चाळ 3,6,8(मनिवि-31)खंड-8"
088-St._Mary_s_Road.pdf,1,0088,"1अ) सेंट मेरी रोड,1 ते 137 . (मनिवि-31),खंड-11, 2 ब) सेंट मेरी रोड,बी.आय.टी.चाळ 9 = ( -10(मनिवि31)खंड12"
089-Shivdas_Chapsi_Marg.pdf,1,0089,"1 अ)शिवदास चापसी मार्ग,110-132(मनिवि31)खंड3, 2ब) शिवदास चापसी रोड (माझगांव रोड)म्यु.घ.नं सजा 154 ते 188 (मनिवि-31) खंड-6, 3 क)शिवदास चापसीरोड (माझ.रोड)म्यु.घ.नं. 100 ते 106(मनिवि-31)खंड-7"
090-Shivdas_Chapsi_Marg.pdf,1,0090,"1अ)शिवदास चापसी मार्ग,150,दुभाष चाळ अ ब क ड (मनिवि31)खंड4, 2ब)शिवदास चापसी मार्ग,(माझगांव रोड)म्यु.घ.नं.84 - 88,कल्व्हर्ट फॅक्टरी आणि सजा सेटल teat झोपडपट्टी (मनिवि31)खंड 5"
091-Sir_J.J._Marg.pdf,1,0091,"1 अ) सर जमशेदजी जिजिभाय रोड, संजय गांधी नगर झोपडपट्टी(मनिवि.-31)खंड-4"
092-Sir_J.J._Marg.pdf,1,0092,"अ) सर जमशेदजी जीजीभाय रोड,सेट्रल रेल्वे कॉलनी ब्लॉक नं.1 ते सेटल रेल्वे मजदुर संघ मागील झोपडपट्टी (म.नि.वि.-31)खंड-5"
