filename,page,content,confidence,original_content
075-Sheikh_Hafizuddin_Marg_(Chain_Street).pdf,1,अ) शेख हफोजुद्दीन मार्ग (साखळी स्ट्रीट) म्युनिसिपल घर 2 ते 64 अ | ब) मिर्झा गालीब मार्ग (क्लेअर रोड) म्युनिसिपल घर 48 खैरूनीसा रोघे बिल्डींग ते म्युनिसिपल घर 82 क्लेअर हाऊस टाऊन हॉस्पिटल,90,
076-Mirza_Ghalib_Road_Byculla.pdf,1,रिपन रोड दुसरी क्रॉस लेन म्युनिसिपल घर 1 ते 12,90,
077-Mirza_Ghalib_Road_Byculla.pdf,1,अ) रिपन रोड दुसरी क्रॉस लेन म्युनिसिपल घर 14 ते 19 मेहफिलवाली चाळ | ब) मौलाना आझाद रोड म्युनिसिपल घर 243 ई ते 245 | क) मौलाना आझाद रोड म्युनिसिपल घर 247 ते 259,93,
078-Mirza_Ghalib_Road_Byculla.pdf,1,अ) मिर्झा गालीब मार्ग (क्लेअर रोड) म्युनिसिपल घर 2 ते 44 जी | ब) मौलाना आझाद रोड म्युनिसिपल घर 173 ते नुरानी चाळ क्रमांक 6,92,
079-Mirza_Ghalib_Road_Byculla.pdf,1,मौलाना आझाद रोड म्युनिसिपल घर 199 ते 243,93,
080-Mirza_Ghalib_Road_Byculla.pdf,1,शेख हाफीजुद्दीन मार्ग (साखळी स्ट्रीट) म्युनिसिपल घर 3 ते 59 जी,92,
081-243_Sane_Guruji_Marg.pdf,1,अ) शेख हफीजुद्दीन रोड म्युनिसिपल घर 61 ते 87 ए धोबीघाट झोपडपट्टी | ब) मौलाना आझाद रोड म्युनिसिपल घर 167 ए ईसाशेठ चाळ ते म्युनिसिपल घर 173 पत्रा चाळ,90,
082-Mirza_Ghalib_Road_Bhaykhla.pdf,1,साने गुरूजी रोड म्युनिसिपल घर 171 ते 187 केरमाणी बिल्डींग,93,
083-Sane_Guruji_Marg_Byculla.pdf,1,अ) साने गुरूजी मार्ग म्युनिसिपल घर 243 ते म्युनिसिपल घर 13-14 शिवदर्शन | ब) संत गाडगे महाराज चौक (जेकब सर्कल) म्युनिसिपल घर 45 राऊंड बिल्डींग,93,
084-Sane_Guruji_Marg_Byculla.pdf,1,अ) केशवराव खाडये मार्ग म्युनिसिपल घर 56 एफ रसुलजुवा कंपाऊंड ते म्युनिसिपल घर 56 एल | ब) साने गुरूजी मार्ग म्युनिसिपल घर 209 ते 237 ए,89,
